dx,icddesc,ccscat,ccsdesc,'OPTIONAL CCS CATEGORY','OPTIONAL CCS CATEGORY DESCRIPTION'
'01000',PRIM TB COMPLEX-UNSPEC,1,'Tuberculosis',' ',' '
'01001',PRIM TB COMPLEX-NO EXAM,1,'Tuberculosis',' ',' '
'01002',PRIM TB COMPLEX-EXM UNKN,1,'Tuberculosis',' ',' '
'01003',PRIM TB COMPLEX-MICRO DX,1,'Tuberculosis',' ',' '
'01004',PRIM TB COMPLEX-CULT DX,1,'Tuberculosis',' ',' '
'01005',PRIM TB COMPLEX-HISTO DX,1,'Tuberculosis',' ',' '
'01006',PRIM TB COMPLEX-OTH TEST,1,'Tuberculosis',' ',' '
'01010',PRIM TB PLEURISY-UNSPEC,1,'Tuberculosis',' ',' '
'01011',PRIM TB PLEURISY-NO EXAM,1,'Tuberculosis',' ',' '
'01012',PRIM TB PLEUR-EXAM UNKN,1,'Tuberculosis',' ',' '
'01013',PRIM TB PLEURIS-MICRO DX,1,'Tuberculosis',' ',' '
'01014',PRIM TB PLEURISY-CULT DX,1,'Tuberculosis',' ',' '
'01015',PRIM TB PLEURIS-HISTO DX,1,'Tuberculosis',' ',' '
'01016',PRIM TB PLEURIS-OTH TEST,1,'Tuberculosis',' ',' '
'01080',PRIM PROG TB NEC-UNSPEC,1,'Tuberculosis',' ',' '
'01081',PRIM PROG TB NEC-NO EXAM,1,'Tuberculosis',' ',' '
'01082',PRIM PR TB NEC-EXAM UNKN,1,'Tuberculosis',' ',' '
'01083',PRIM PRG TB NEC-MICRO DX,1,'Tuberculosis',' ',' '
'01084',PRIM PROG TB NEC-CULT DX,1,'Tuberculosis',' ',' '
'01085',PRIM PRG TB NEC-HISTO DX,1,'Tuberculosis',' ',' '
'01086',PRIM PRG TB NEC-OTH TEST,1,'Tuberculosis',' ',' '
'01090',PRIMARY TB NOS-UNSPEC,1,'Tuberculosis',' ',' '
'01091',PRIMARY TB NOS-NO EXAM,1,'Tuberculosis',' ',' '
'01092',PRIMARY TB NOS-EXAM UNKN,1,'Tuberculosis',' ',' '
'01093',PRIMARY TB NOS-MICRO DX,1,'Tuberculosis',' ',' '
'01094',PRIMARY TB NOS-CULT DX,1,'Tuberculosis',' ',' '
'01095',PRIMARY TB NOS-HISTO DX,1,'Tuberculosis',' ',' '
'01096',PRIMARY TB NOS-OTH TEST,1,'Tuberculosis',' ',' '
